Element,Impact Factor (Approx.),Quantity (gm),Material Impact (MI),Condition Adjustment (CA),Age Factor (AF),Recyclability Factor (RF),Environmental Impact Score (EIS)
Aluminum,20.0,48.0,960.0,0.8,0.75,0.9,57.59999999999999
Silicon,10.0,48.0,480.0,0.9,0.85,0.9,36.71999999999999
Oxygen,1.0,40.0,40.0,1.0,1.0,1.0,0.0
Copper,200.0,20.0,4000.0,0.8,0.9,0.85,432.00000000000006
Iron,30.0,10.0,300.0,0.9,0.8,0.9,21.599999999999994
Carbon,100.0,10.0,1000.0,0.7,0.85,0.5,297.5
Nickel,300.0,8.0,2400.0,0.8,0.7,0.8,268.79999999999995
Lithium,300.0,4.0,1200.0,0.6,0.95,0.6,273.6
Cobalt,800.0,2.0,1600.0,0.6,0.9,0.6,345.6
Gold,5000.0,0.04,200.0,0.9,0.5,0.95,4.5000000000000036
Silver,1000.0,0.04,40.0,0.9,0.6,0.95,1.080000000000001
Tantalum,2000.0,0.04,80.0,0.7,0.75,0.7,12.600000000000001
Tin,500.0,0.04,20.0,0.8,0.8,0.85,1.9200000000000004
Neodymium,3000.0,0.02,60.0,0.7,0.6499999999999999,0.6,10.92
Palladium,6000.0,0.02,120.0,0.9,0.5,0.9,5.399999999999999
Platinum,7000.0,0.02,140.0,0.9,0.5,0.95,3.150000000000003
Yttrium,2500.0,0.001,2.5,0.7,0.75,0.6,0.525
Indium,4000.0,0.001,4.0,0.6,0.7,0.5,0.84
Gallium,3000.0,0.001,3.0,0.7,0.85,0.6,0.714
